"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"NonCore (non-metro)"	"6"	"15-19 years"	"15-19"	821	1179540	69.6
	"NonCore (non-metro)"	"6"	"20-24 years"	"20-24"	1300	1131698	114.9
	"NonCore (non-metro)"	"6"	"25-29 years"	"25-29"	1526	1029639	148.2
	"NonCore (non-metro)"	"6"	"30-34 years"	"30-34"	1842	1066229	172.8
	"NonCore (non-metro)"	"6"	"35-39 years"	"35-39"	2265	1033885	219.1
	"NonCore (non-metro)"	"6"	"40-44 years"	"40-44"	3151	1105680	285.0
	"NonCore (non-metro)"	"6"	"45-49 years"	"45-49"	5079	1184372	428.8
	"NonCore (non-metro)"	"6"	"50-54 years"	"50-54"	9219	1398786	659.1
	"NonCore (non-metro)"	"6"	"55-59 years"	"55-59"	13073	1429984	914.2
	"NonCore (non-metro)"	"6"	"60-64 years "	"60-64"	16371	1326004	1234.6
	"NonCore (non-metro)"	"6"	"65-69 years"	"65-69"	19820	1158330	1711.1
	"NonCore (non-metro)"	"6"	"70-74 years"	"70-74"	23251	898633	2587.4
	"NonCore (non-metro)"	"6"	"75-79 years"	"75-79"	26300	655623	4011.5
	"NonCore (non-metro)"	"6"	"80-84 years"	"80-84"	29605	454909	6507.9
	"NonCore (non-metro)"	"6"	"85-89 years"	"85-89"	30382	Not Applicable	Not Applicable
	"NonCore (non-metro)"	"6"	"90-94 years"	"90-94"	22933	Not Applicable	Not Applicable
	"NonCore (non-metro)"	"6"	"95-99 years"	"95-99"	9478	Not Applicable	Not Applicable
	"NonCore (non-metro)"	"6"	"100+ years"	"100+"	2163	Not Applicable	Not Applicable
