"eis","SCC","POLL","ANN_VALUE","STKHGT","STKDIAM","STKTEMP","STKFLOW","STKVEL","NAICS"
16386811,20200254,"NOX",21.748,6.7056,0.3048,730.222222222222,3.62644226575903,49.700688,211111
16386911,20200253,"NOX",49.089,6.4008,0.3048,827.444444444444,0.476665973737114,6.5327784,211111
16387111,20200253,"VOC",5.058,5.1816,0.252984,983,1.62491410304271,32.3088,211111
16387211,20200253,"VOC",13.098,5.4864,0.252984,784.111111111111,1.46303518613023,28.956,211111
16387311,20200254,"VOC",1.765,7.3152,0.4572,736.888888888889,5.77569092209183,35.1803208,211111
16387411,20200254,"NOX",19.78,6.096,0.3048,742.444444444444,3.77652155269663,51.7574784,486210
16387511,20200254,"VOC",12.9,7.0104,0.4572,740.222222222222,3.61653136945183,22.03704,211111
16387611,20200254,"VOC",7.2,7.0104,0.4572,740.222222222222,3.61653136945183,22.03704,211111
16387711,20200253,"VOC",10.808,4.8768,0.252984,784.111111111111,1.46303518613023,29.1084,211111
16387811,20200254,"NOX",24.193,6.7056,0.3048,734.666666666667,2.99969700508431,41.148,211111
16387911,20200254,"VOC",5.324,6.096,0.3048,738,3.3881106947328,46.3296,211111
16388011,20200254,"PM25-PRI",0.42,7.0104,0.3048,738,3.3881106947328,46.3296,211111
16388111,20200254,"VOC",2.638,6.7056,0.4572,730.222222222222,3.62691515709711,22.091904,486210
16388211,20200254,"SO2",0.026,7.62,0.3048,743,3.7859623893504,51.886104,211111
16388311,20200253,"VOC",2.11,6.096,0.3048,880.222222222222,3.28805594898463,45.0628512,486210
16388411,20200254,"VOC",2,4.8768,0.3048,730.222222222222,3.62691515709711,49.6824,211111
16388611,20200253,"NOX",32.31,5.4864,0.39624,944.111111111111,3.2380314077952,25.088088,211111
16388711,20200254,"VOC",7.777,6.096,0.4572,740.222222222222,3.61653136945183,21.99132,211111
16388811,31000299,"VOC",0.19,22.86,0.64008,1033,0.0250122705947136,0.077724,486210
16389011,20200254,"VOC",2.563,6.7056,0.4572,730.222222222222,3.62691515709711,22.091904,486210
16389211,20200254,"NOX",18.768,6.4008,0.3048,730.222222222222,3.62691515709711,49.6824,211111
16389311,20200253,"NOX",4.105,3.048,0.1524,879.666666666667,0.530467982261914,29.0803584,211111
16389411,20200254,"NOX",12.557,4.8768,0.252984,725.777777777778,1.69429037719311,33.71088,211111
16392111,20200401,"SO2",0.01,30.48,0.3048,764.111111111111,8.2287991641494,112.776,622110
16396111,20200254,"VOC",3.19,6.096,0.3048,742.444444444444,3.77652155269663,51.7574784,486210
16396211,31000228,"PM25-PRI",0.02,4.572,0.3048,366.333333333333,0.0471928565302272,0.6467856,211111
16396311,20200253,"PM25-PRI",0.386,6.096,0.3048,841.333333333333,2.53765951429663,34.7788992,211111
16396411,20200253,"NOX",91.175,6.096,0.204216,949.666666666667,1.68721116554511,51.5112,211111
16396511,20200253,"NOX",60.405,4.572,0.1524,822.444444444444,0.850448348751514,46.60392,211111
16396711,31000302,"NOX",0.0025,3.048,0.24384,373,0.0014158423296,0.03048,211111
16396911,20200253,"NOX",21.316,5.1816,0.21336,788.555555555556,1.35259948442143,37.850064,486210
16397011,20200253,"VOC",0.16,4.2672,0.21336,831.888888888889,0.605034734392627,16.922496,211111
16397111,20200253,"VOC",1.27,4.572,0.1524,806.888888888889,0.973626631426714,53.37048,211111
16397211,20200253,"PM25-PRI",0.56,4.8768,0.24384,810.777777777778,1.9566940995072,41.87952,211111
16397311,20200254,"VOC",1.415,9.144,0.51816,731.333333333333,7.61911763523103,NA,211111
16397411,20200253,"PM25-PRI",0.668,6.096,0.36576,866.333333333333,2.22759004411423,21.2006688,211111
16397511,20200254,"PM25-PRI",0.433,6.4008,0.3048,730.222222222222,3.62691515709711,49.6824,211111
16397711,20200254,"SO2",0.03,6.096,0.24384,730.222222222222,3.62691515709711,78.3336,211111
16397911,31000302,"VOC",0.012,6.096,0.3048,463.555555555556,0.14158423296,1.9403568,211111
16398011,20200254,"VOC",3.608,6.096,0.3048,730.222222222222,3.62691515709711,49.706784,211111
16398111,20200253,"VOC",6.206,6.096,0.252984,983,1.62491410304271,32.3088,211111
16398211,31000301,"VOC",0.471,8.8392,0.06096,373,0.0103809559606272,3.480816,211111
16398311,31000227,"VOC",0.925,6.7056,0.06096,371.888888888889,0.0943885447451136,32.3088,486210
16398511,20200254,"NOX",5.02,6.096,0.3048,742.444444444444,3.77652155269663,51.7574784,486210
16398711,31000228,"SO2",5e-04,5.4864,0.06096,371.888888888889,0.0943885447451136,32.3088,211111
16398811,20200253,"PM25-PRI",0.144,4.2672,0.21336,856.888888888889,1.47625065843471,41.2900368,211111
16398911,31000405,"PM25-PRI",0.058,6.096,0.3048,644.111111111111,0.0943885447451136,1.2935712,211111
16399011,20200253,"NOX",0.01,1.8288,0.0762,900.777777777778,0.233613984384,51.2271264,486210
16399111,20200254,"SO2",0.026,4.572,0.3048,730.222222222222,3.62691515709711,49.706784,211111
16399311,31000227,"VOC",1.042,6.096,0.06096,373,0.007079211648,2.4255984,486210
16399411,31000227,"VOC",1.29,12.192,0.06096,321.888888888889,0.0594653778432,20.33016,211111
16399511,31000227,"VOC",1.41,12.192,0.06096,321.888888888889,0.0594653778432,20.33016,211111
16399611,31000227,"VOC",2.196,6.096,0.347472,560.777777777778,0.346833232112794,3.6576,211111
16399711,20200254,"VOC",0.5,6.4008,0.3048,730.222222222222,3.62691515709711,49.6824,211112
16399811,20200254,"PM25-PRI",0.411,7.62,0.24384,738,3.3881106947328,72.554592,211111
16399911,20200254,"SO2",0.01,6.096,0.3048,729.666666666667,3.61086800013343,49.3776,211111
16400011,20200254,"SO2",0.008,7.9248,0.4572,739.666666666667,5.31271048031263,32.3603112,486210
16400111,20200254,"SO2",0.0348389,12.192,0.6096,737.444444444444,7.94412707367537,27.21864,213112
16402111,31000201,"VOC",0.44,12.192,0.06096,321.888888888889,0.0594653778432,20.33016,211111
16404311,50100701,"NH3",6.923e-06,7.89432,0.64008,325.222222222222,1.812278181888,NA,22132
16406111,30502005,"PM25-PRI",8.43064e-05,6.096,0.70104,295.222222222222,5.6633693184,NA,541380
16408311,39999999,"NOX",1e-07,30.48,0.6096,449.666666666667,NA,0.50797968,924110
16408411,39999999,"NH3",1.603,30.7848,0.149352,294.111111111111,NA,0.35862768,325193
16408511,30200553,"PM25-PRI",0.0370285,30.48,0.6096,449.666666666667,NA,0.50797968,424510
16408711,30200606,"PM25-PRI",0,30.48,0.6096,449.666666666667,NA,0.50797968,424510
16408811,39999999,"PM25-PRI",1e-07,21.336,0.911352,623,NA,9.69974184,486210
16408911,39999999,"SO2",0.0203448,2.7432,0.27432,449.666666666667,NA,0.50797968,541940
16410011,50100701,"NH3",0.37,30.48,0.6096,449.666666666667,NA,0.50797968,924110
16410111,30200560,"PM25-PRI",0.410127,30.48,0.6096,449.666666666667,NA,0.50797968,424510
16411711,50300102,"SO2",0.1,2.1336,0.149352,1088.55555555556,NA,0.21336,112320
16412211,30200551,"PM25-PRI",0.047,30.48,0.6096,449.666666666667,NA,0.50797968,424510
16412311,39999999,"PM25-PRI",0.577373,30.48,0.6096,449.666666666667,NA,0.50797968,212321
16412611,39999999,"PM25-PRI",3.66931,30.48,0.6096,449.666666666667,NA,0.50797968,212321
16413311,39999999,"PM25-PRI",0.159917,30.48,0.6096,449.666666666667,NA,0.50797968,541940
16414211,49099998,"VOC",0.27,9.144,0.3048,783,NA,0.021336,325193
16414311,20100101,"VOC",0.0031,2.1336,0.100584,449.666666666667,NA,0.50797968,221320
16414911,39999999,"NOX",7.83e-05,30.48,0.6096,449.666666666667,NA,0.50797968,334220
16416311,39999999,"VOC",0.064,30.48,0.6096,449.666666666667,NA,0.50797968,323111
16418211,49099998,"VOC",0.272,30.48,0.6096,449.666666666667,NA,0.50797968,332216
16418611,50100402,"VOC",13.68,30.48,0.6096,449.666666666667,NA,0.50797968,562212
