"eis","FIPS","eff_height","ap3.assignment","easiur.assignment"
968611,1089,36.9851513091521,"Low","Area"
969011,1089,31.1155797368621,"Low","Area"
969211,1089,43.6512372920193,"Low","Area"
969511,1089,60.2583677061522,"Low","Area"
970111,41039,121.054046381557,"Low","Med 150"
971211,41039,98.5673772299244,"Low","Med 150"
971411,41039,77.2971743495337,"Low","Med 150"
972011,41039,58.9125935772399,"Low","Area"
972111,41039,58.9125935772399,"Low","Area"
972211,41039,215.826227151004,"Low","Med 150"
972311,41039,93.8767011089607,"Low","Med 150"
972411,41039,269.564649339997,"Medium","Tall 300"
972511,41039,68.0269561554889,"Low","Area"
972811,4003,164.294579620037,"Low","Med 150"
972911,2122,0,"Low","Area"
973011,2185,0,"Low","Area"
973111,5081,418.535049336267,"Medium","Tall 300"
973211,5083,125.350448942137,"Low","Med 150"
973311,5061,115.595200282941,"Low","Med 150"
973411,5061,70.8078815546642,"Low","Area"
973711,4021,149.377536037818,"Low","Med 150"
973811,5115,257.273401438327,"Medium","Tall 300"
973911,5003,109.405386277743,"Low","Med 150"
974011,5035,144.54329119843,"Low","Med 150"
974211,5037,55.3985790015798,"Low","Area"
974411,2090,0,"Low","Area"
974511,2090,0,"Low","Area"
974811,2013,0,"Low","Area"
974911,2013,0,"Low","Area"
975211,5145,0,"Low","Area"
975311,5145,20.4119054127377,"Low","Area"
975411,5145,79.7111092992716,"Low","Med 150"
975811,5027,50.227282395553,"Low","Area"
975911,5027,128.969563495087,"Low","Med 150"
976011,5027,154.76584343763,"Low","Med 150"
976111,5131,162.790756372086,"Low","Med 150"
976311,5031,234.07506156314,"Low","Tall 300"
976411,5103,287.58819779392,"Medium","Tall 300"
976711,5069,255.003138835418,"Medium","Tall 300"
976811,4017,26.4348445805295,"Low","Area"
977911,4019,284.055564183385,"Medium","Tall 300"
981611,1043,114.684184245627,"Low","Med 150"
983011,1047,240.490586397789,"Low","Tall 300"
983611,1049,39.1634978583224,"Low","Area"
984411,1051,157.753809659265,"Low","Med 150"
